logY Y P PoverSqrtY
6.90675 999 -1.1201 -0.035438
6.90975 1002 -1.3094 -0.041366
6.91175 1004 -1.2049 -0.038027
6.91374 1006 -1.3293 -0.041911
6.91672 1009 -1.4795 -0.046577
6.91870 1011 -1.2680 -0.039878
6.92067 1013 -1.2934 -0.040639
6.92264 1015 -1.3855 -0.043488
6.92560 1018 -1.3018 -0.040801
6.92756 1020 -1.3506 -0.042289
6.92952 1022 -1.4441 -0.045172
6.93245 1025 -1.3945 -0.043555
6.93440 1027 -1.3589 -0.042402
6.93634 1029 -1.4060 -0.043831
6.93828 1031 -1.3704 -0.042680
6.94119 1034 -1.3329 -0.041450
6.94312 1036 -1.3814 -0.042918
6.94505 1038 -1.3796 -0.042821
6.94794 1041 -1.4234 -0.044116
6.94986 1043 -1.4791 -0.045800
6.95273 1046 -1.3575 -0.041975
6.95464 1048 -1.4066 -0.043449
6.95655 1050 -1.3174 -0.040657
6.95940 1053 -1.0040 -0.030941
6.96130 1055 -0.9973 -0.030704
6.96319 1057 -1.0806 -0.033236
6.96602 1060 -1.0044 -0.030849
6.96791 1062 -1.0341 -0.031733
6.97073 1065 -1.2364 -0.037887
6.97261 1067 -1.2147 -0.037185
6.97448 1069 -1.2859 -0.039329
6.97728 1072 -1.2483 -0.038127
6.97915 1074 -1.0379 -0.031672
6.98193 1077 -1.0704 -0.032616
6.98379 1079 -1.0269 -0.031263
6.98564 1081 -0.9363 -0.028479
6.98841 1084 -1.1966 -0.036343
6.99026 1086 -1.3044 -0.039581
6.99302 1089 -1.4193 -0.043008
6.99485 1091 -1.7533 -0.053081
6.99760 1094 -1.9209 -0.058076
6.99942 1096 -1.9328 -0.058384
7.00216 1099 -2.1830 -0.065849
7.00397 1101 -2.1499 -0.064793
7.00670 1104 -2.0289 -0.061064
7.00851 1106 -2.0770 -0.062453
7.01121 1109 -1.9985 -0.060011
7.01302 1111 -2.0702 -0.062110
7.01571 1114 -2.1952 -0.065769
7.01751 1116 -1.9750 -0.059119
7.02019 1119 -1.8503 -0.055313
7.02198 1121 -1.6776 -0.050105
7.02465 1124 -1.4448 -0.043096
7.02643 1126 -1.5666 -0.046688
7.02909 1129 -1.5151 -0.045091
7.03086 1131 -1.5542 -0.046215
7.03351 1134 -1.7633 -0.052362
7.03527 1136 -1.7332 -0.051423
7.03791 1139 -1.8090 -0.053601
7.03966 1141 -1.9401 -0.057435
7.04229 1144 -1.8468 -0.054603
7.04491 1147 -1.9329 -0.057072
7.04665 1149 -1.9583 -0.057773
7.04925 1152 -1.9304 -0.056875
7.05099 1154 -2.1349 -0.062846
7.05359 1157 -2.2163 -0.065158
7.05618 1160 -2.4530 -0.072022
7.05790 1162 -2.5127 -0.073711
7.06048 1165 -2.1276 -0.062334
7.06219 1167 -2.0090 -0.058808
7.06476 1170 -1.8242 -0.053330
7.06732 1173 -1.5274 -0.044598
7.06902 1175 -1.6280 -0.047493
7.07157 1178 -1.6170 -0.047112
7.07412 1181 -1.6506 -0.048029
7.07581 1183 -1.8023 -0.052399
7.07834 1186 -1.7044 -0.049490
7.08087 1189 -1.7612 -0.051075
7.08255 1191 -1.7675 -0.051214
7.08506 1194 -1.7475 -0.050573
7.08757 1197 -1.7580 -0.050813
