logY Y P PoverSqrtY
6.90675 999 -8.0337 -0.254175
6.90975 1002 -7.9478 -0.251080
6.91175 1004 -8.1151 -0.256112
6.91374 1006 -8.3943 -0.264659
6.91672 1009 -8.0915 -0.254730
6.91870 1011 -7.6436 -0.240392
6.92067 1013 -7.6933 -0.241716
6.92264 1015 -7.8354 -0.245939
6.92560 1018 -7.9443 -0.248991
6.92756 1020 -7.3763 -0.230960
6.92952 1022 -7.2184 -0.225794
6.93245 1025 -7.1928 -0.224667
6.93440 1027 -7.2464 -0.226118
6.93634 1029 -7.1343 -0.222404
6.93828 1031 -7.2209 -0.224885
6.94119 1034 -7.5895 -0.236022
6.94312 1036 -7.6701 -0.238297
6.94505 1038 -7.6320 -0.236886
6.94794 1041 -7.6703 -0.237732
6.94986 1043 -7.8036 -0.241630
6.95273 1046 -7.6438 -0.236343
6.95464 1048 -7.6414 -0.236044
6.95655 1050 -7.7700 -0.239787
6.95940 1053 -7.7217 -0.237958
6.96130 1055 -7.6478 -0.235455
6.96319 1057 -7.6321 -0.234751
6.96602 1060 -7.6778 -0.235821
6.96791 1062 -7.6706 -0.235378
6.97073 1065 -7.3580 -0.225467
6.97261 1067 -7.4663 -0.228573
6.97448 1069 -7.6853 -0.235056
6.97728 1072 -8.0663 -0.246364
6.97915 1074 -7.7564 -0.236678
6.98193 1077 -7.5015 -0.228580
6.98379 1079 -7.6588 -0.233159
6.98564 1081 -7.7526 -0.235796
6.98841 1084 -8.0023 -0.243051
6.99026 1086 -7.9395 -0.240924
6.99302 1089 -8.1612 -0.247310
6.99485 1091 -8.3345 -0.252330
6.99760 1094 -8.3640 -0.252873
6.99942 1096 -8.3540 -0.252342
7.00216 1099 -8.2849 -0.249912
7.00397 1101 -8.0979 -0.244050
7.00670 1104 -8.3325 -0.250778
7.00851 1106 -8.7481 -0.263049
7.01121 1109 -8.5401 -0.256446
7.01302 1111 -8.3043 -0.249142
7.01571 1114 -8.4477 -0.253102
7.01751 1116 -8.5099 -0.254738
7.02019 1119 -8.2845 -0.247657
7.02198 1121 -8.2694 -0.246985
7.02465 1124 -8.6119 -0.256872
7.02643 1126 -8.8322 -0.263209
7.02909 1129 -8.7576 -0.260639
7.03086 1131 -8.5151 -0.253198
7.03351 1134 -8.5982 -0.255331
7.03527 1136 -8.7212 -0.258754
7.03791 1139 -8.7498 -0.259261
7.03966 1141 -8.7239 -0.258268
7.04229 1144 -8.8308 -0.261088
7.04491 1147 -8.8257 -0.260597
7.04665 1149 -8.9153 -0.263013
7.04925 1152 -8.9548 -0.263832
7.05099 1154 -8.8271 -0.259845
7.05359 1157 -8.7133 -0.256162
7.05618 1160 -9.1497 -0.268644
7.05790 1162 -9.1114 -0.267288
7.06048 1165 -9.1116 -0.266952
7.06219 1167 -9.2349 -0.270332
7.06476 1170 -9.7264 -0.284355
7.06732 1173 -9.4407 -0.275648
7.06902 1175 -9.2326 -0.269343
7.07157 1178 -9.1581 -0.266828
7.07412 1181 -9.0110 -0.262210
7.07581 1183 -8.9805 -0.261102
7.07834 1186 -8.9042 -0.258554
7.08087 1189 -8.9565 -0.259746
7.08255 1191 -8.8186 -0.255530
7.08506 1194 -8.8792 -0.256964
7.08757 1197 -8.6406 -0.249746
7.08924 1199 -8.6253 -0.249094
7.09174 1202 -8.7012 -0.250972
7.09423 1205 -9.1350 -0.263156
7.09589 1207 -8.8287 -0.254122
7.09838 1210 -8.4559 -0.243090
7.10085 1213 -8.2803 -0.237748
7.10332 1216 -8.3683 -0.239977
7.10497 1218 -7.9429 -0.227591
7.10743 1221 -7.9863 -0.228553
7.10988 1224 -8.2897 -0.236944
7.11233 1227 -8.4059 -0.239974
7.11396 1229 -8.2201 -0.234477
7.11639 1232 -8.1991 -0.233595
7.11883 1235 -8.2370 -0.234389
7.12125 1238 -8.4698 -0.240720
7.12367 1241 -8.4034 -0.238545
7.12528 1243 -8.4224 -0.238890
7.12769 1246 -8.4234 -0.238631
7.13010 1249 -8.6945 -0.246016
7.13250 1252 -8.6505 -0.244478
7.13489 1255 -8.4623 -0.238873
7.13648 1257 -8.3774 -0.236289
7.13887 1260 -8.5929 -0.242076
7.14125 1263 -7.9889 -0.224793
7.14362 1266 -7.7016 -0.216452
7.14598 1269 -7.7398 -0.217269
7.14835 1272 -7.5610 -0.212001
7.14992 1274 -7.4733 -0.209377
7.15227 1277 -7.7024 -0.215540
7.15462 1280 -7.9236 -0.221472
7.15696 1283 -7.8423 -0.218942
7.15929 1286 -7.9531 -0.221777
7.16162 1289 -7.9603 -0.221719
7.16395 1292 -8.0596 -0.224224
7.16627 1295 -8.1274 -0.225849
7.16858 1298 -7.9226 -0.219903
7.17089 1301 -8.0067 -0.221980
7.17242 1303 -8.2989 -0.229904
7.17472 1306 -8.2325 -0.227804
7.17702 1309 -7.7595 -0.214468
7.17931 1312 -7.8868 -0.217737
7.18159 1315 -7.9434 -0.219050
7.18387 1318 -7.5698 -0.208509
7.18614 1321 -7.6005 -0.209118
7.18841 1324 -7.8615 -0.216055
7.19068 1327 -7.6545 -0.210128
7.19293 1330 -7.6962 -0.211034
7.19519 1333 -7.9506 -0.217763
7.19744 1336 -8.1436 -0.222799
7.19968 1339 -8.1653 -0.223142
7.20192 1342 -8.0958 -0.220996
7.20415 1345 -7.8039 -0.212790
7.20638 1348 -7.7442 -0.210928
7.20860 1351 -7.4470 -0.202607
7.21082 1354 -7.3221 -0.198989
7.21303 1357 -7.7956 -0.211621
7.21524 1360 -8.0028 -0.217006
7.21744 1363 -7.8510 -0.212657
7.22037 1367 -8.1074 -0.219278
7.22257 1370 -8.2200 -0.222082
7.22475 1373 -7.9748 -0.215222
7.22694 1376 -8.0878 -0.218033
7.22911 1379 -8.1303 -0.218939
7.23129 1382 -8.0094 -0.215450
7.23346 1385 -8.0542 -0.216421
7.23562 1388 -8.1848 -0.219691
7.23778 1391 -8.5952 -0.230458
7.23993 1394 -8.8047 -0.235821
7.24280 1398 -8.5826 -0.229545
7.24494 1401 -8.7635 -0.234131
7.24708 1404 -9.0087 -0.240424
7.24922 1407 -8.9834 -0.239494
7.25134 1410 -9.2101 -0.245275
7.25347 1413 -9.7915 -0.260482
7.25630 1417 -9.3591 -0.248628
7.25841 1420 -9.1435 -0.242644
7.26052 1423 -9.1345 -0.242149
7.26263 1426 -8.8634 -0.234716
7.26473 1429 -8.8116 -0.233099
7.26753 1433 -8.8009 -0.232490
7.26962 1436 -8.7228 -0.230185
