logY Y P PoverSqrtY
6.90675 999 1.3892 0.043954
6.90975 1002 1.3626 0.043046
6.91175 1004 1.3133 0.041448
6.91374 1006 1.3580 0.042814
6.91672 1009 1.3794 0.043424
6.91870 1011 1.3337 0.041945
6.92067 1013 1.2706 0.039922
6.92264 1015 1.2181 0.038233
6.92560 1018 1.4590 0.045729
6.92756 1020 1.6085 0.050364
6.92952 1022 1.6654 0.052095
6.93245 1025 1.5677 0.048967
6.93440 1027 1.6676 0.052035
6.93634 1029 1.6554 0.051604
6.93828 1031 1.6944 0.052771
6.94119 1034 1.7584 0.054684
6.94312 1036 1.7024 0.052892
6.94505 1038 1.5551 0.048268
6.94794 1041 1.3717 0.042513
6.94986 1043 1.3113 0.040603
6.95273 1046 1.3968 0.043187
6.95464 1048 1.4679 0.045343
6.95655 1050 1.5262 0.047099
6.95940 1053 1.6537 0.050962
6.96130 1055 1.6521 0.050865
6.96319 1057 1.7574 0.054054
6.96602 1060 1.8242 0.056029
6.96791 1062 1.8147 0.055684
6.97073 1065 1.7102 0.052404
6.97261 1067 1.6619 0.050876
6.97448 1069 1.6664 0.050968
6.97728 1072 1.6351 0.049941
6.97915 1074 1.5905 0.048531
6.98193 1077 1.4823 0.045167
6.98379 1079 1.5471 0.047099
6.98564 1081 1.5444 0.046973
6.98841 1084 1.6356 0.049678
6.99026 1086 1.6627 0.050454
6.99302 1089 1.6599 0.050299
6.99485 1091 1.6378 0.049583
6.99760 1094 1.5897 0.048062
6.99942 1096 1.6502 0.049847
7.00216 1099 1.5675 0.047282
7.00397 1101 1.4461 0.043582
7.00670 1104 1.4232 0.042834
7.00851 1106 1.4470 0.043511
7.01121 1109 1.4885 0.044696
7.01302 1111 1.4982 0.044949
7.01571 1114 1.3989 0.041913
7.01751 1116 1.2304 0.036832
7.02019 1119 1.1919 0.035631
7.02198 1121 1.1653 0.034805
7.02465 1124 1.0385 0.030975
7.02643 1126 0.8600 0.025629
7.02909 1129 0.6329 0.018837
7.03086 1131 0.6380 0.018972
7.03351 1134 0.6428 0.019087
7.03527 1136 0.8002 0.023743
7.03791 1139 0.9290 0.027525
7.03966 1141 0.9109 0.026966
7.04229 1144 0.8988 0.026572
7.04491 1147 1.0004 0.029538
7.04665 1149 1.0353 0.030542
7.04925 1152 0.9565 0.028180
7.05099 1154 0.9098 0.026782
7.05359 1157 0.8742 0.025700
7.05618 1160 0.7922 0.023259
7.05790 1162 0.8566 0.025128
7.06048 1165 0.8978 0.026304
7.06219 1167 0.8031 0.023508
7.06476 1170 0.8223 0.024039
7.06732 1173 0.8866 0.025886
7.06902 1175 0.9054 0.026414
7.07157 1178 0.7352 0.021422
7.07412 1181 0.6788 0.019751
7.07581 1183 0.7065 0.020540
7.07834 1186 0.6878 0.019973
7.08087 1189 0.7432 0.021552
7.08255 1191 0.7782 0.022550
7.08506 1194 0.6813 0.019716
7.08757 1197 0.7366 0.021291
7.08924 1199 0.7524 0.021730
7.09174 1202 0.7295 0.021041
7.09423 1205 0.6928 0.019957
7.09589 1207 0.5366 0.015445
7.09838 1210 0.4597 0.013216
7.10085 1213 0.5186 0.014890
